Country,Home,Away,Time,League,Season,Result
Poland,Belchatow,Jastrzebski,06.05. 18:30,PlusLiga,2014/2015,3-1
Poland,Jastrzebski,Belchatow,03.05. 18:00,PlusLiga,2014/2015,3-2
Poland,Belchatow,Jastrzebski,29.04. 18:00,PlusLiga,2014/2015,2-3
Poland,Rzeszow,Gdansk,28.04. 18:00,PlusLiga,2014/2015,3-1
Poland,Jastrzebski,Belchatow,25.04. 12:45,PlusLiga,2014/2015,0-3
Poland,Gdansk,Rzeszow,24.04. 16:00,PlusLiga,2014/2015,2-3
Poland,Bydgoszcz,Kedzierzyn-Kozle,17.04. 16:00,PlusLiga,2014/2015,3-0
Poland,Cuprum,ONICO Warszawa,17.04. 16:00,PlusLiga,2014/2015,3-1
Poland,Czarni Radom,Olsztyn,17.04. 16:00,PlusLiga,2014/2015,3-0
Poland,Kielce,Bedzin,16.04. 16:00,PlusLiga,2014/2015,1-3
Poland,Rzeszow,Gdansk,15.04. 18:00,PlusLiga,2014/2015,3-0
Poland,Belchatow,Jastrzebski,15.04. 16:00,PlusLiga,2014/2015,3-1
Poland,ONICO Warszawa,Cuprum,12.04. 15:00,PlusLiga,2014/2015,1-3
Poland,Kedzierzyn-Kozle,Bydgoszcz,11.04. 15:00,PlusLiga,2014/2015,3-1
Poland,Bedzin,Kielce,11.04. 15:00,PlusLiga,2014/2015,3-0
Poland,Olsztyn,Czarni Radom,11.04. 15:00,PlusLiga,2014/2015,1-3
Poland,Gdansk,Belchatow,04.04. 18:30,PlusLiga,2014/2015,3-2
Poland,Kedzierzyn-Kozle,Cuprum,01.04. 16:00,PlusLiga,2014/2015,3-0
Poland,Czarni Radom,Bedzin,28.03. 16:00,PlusLiga,2014/2015,3-1
Poland,Olsztyn,Kielce,28.03. 15:00,PlusLiga,2014/2015,3-1
Poland,Bydgoszcz,ONICO Warszawa,27.03. 17:00,PlusLiga,2014/2015,3-0
Poland,Bielsko-Biala,Czestochowa,22.03. 17:00,PlusLiga,2014/2015,0-3
Poland,Kielce,Olsztyn,22.03. 16:30,PlusLiga,2014/2015,2-3
Poland,Bedzin,Czarni Radom,21.03. 14:00,PlusLiga,2014/2015,3-2
Poland,Rzeszow,Jastrzebski,20.03. 17:00,PlusLiga,2014/2015,3-1
Poland,Cuprum,Kedzierzyn-Kozle,20.03. 17:00,PlusLiga,2014/2015,1-3
Poland,ONICO Warszawa,Bydgoszcz,20.03. 17:00,PlusLiga,2014/2015,2-3
Poland,Belchatow,Gdansk,18.03. 19:30,PlusLiga,2014/2015,0-3
Poland,Jastrzebski,Rzeszow,17.03. 19:30,PlusLiga,2014/2015,1-3
Poland,Kedzierzyn-Kozle,Olsztyn,17.03. 17:00,PlusLiga,2014/2015,3-0
Poland,Gdansk,Belchatow,14.03. 19:00,PlusLiga,2014/2015,1-3
Poland,Bydgoszcz,Bedzin,14.03. 16:00,PlusLiga,2014/2015,3-1
Poland,Czarni Radom,ONICO Warszawa,13.03. 18:30,PlusLiga,2014/2015,10-15
Poland,Czestochowa,Bielsko-Biala,13.03. 17:30,PlusLiga,2014/2015,1-3
Poland,Cuprum,Kielce,13.03. 17:00,PlusLiga,2014/2015,3-0
Poland,Czarni Radom,ONICO Warszawa,13.03. 17:00,PlusLiga,2014/2015,0-3
Poland,Bedzin,Bydgoszcz,09.03. 17:00,PlusLiga,2014/2015,1-3
Poland,ONICO Warszawa,Czarni Radom,08.03. 16:00,PlusLiga,2014/2015,1-3
Poland,Rzeszow,Jastrzebski,08.03. 13:45,PlusLiga,2014/2015,3-1
Poland,Olsztyn,Kedzierzyn-Kozle,07.03. 16:00,PlusLiga,2014/2015,3-2
Poland,Belchatow,Gdansk,07.03. 13:45,PlusLiga,2014/2015,2-3
Poland,Kielce,Cuprum,06.03. 17:00,PlusLiga,2014/2015,3-2
Poland,Gdansk,Bydgoszcz,03.03. 19:30,PlusLiga,2014/2015,3-1
Poland,Kielce,Czestochowa,03.03. 17:00,PlusLiga,2014/2015,3-0
Poland,Jastrzebski,Cuprum,01.03. 16:00,PlusLiga,2014/2015,3-2
Poland,ONICO Warszawa,Olsztyn,01.03. 16:00,PlusLiga,2014/2015,3-0
Poland,Bielsko-Biala,Bedzin,01.03. 14:00,PlusLiga,2014/2015,0-3
Poland,Bydgoszcz,Gdansk,28.02. 17:00,PlusLiga,2014/2015,1-3
Poland,Belchatow,Kedzierzyn-Kozle,28.02. 16:30,PlusLiga,2014/2015,3-0
Poland,Jastrzebski,Cuprum,28.02. 16:00,PlusLiga,2014/2015,3-1
Poland,Rzeszow,Czarni Radom,28.02. 16:00,PlusLiga,2014/2015,3-0
Poland,Czestochowa,Kielce,27.02. 17:30,PlusLiga,2014/2015,0-3
Poland,Cuprum,Jastrzebski,25.02. 19:30,PlusLiga,2014/2015,3-0
Poland,Czarni Radom,Rzeszow,25.02. 17:00,PlusLiga,2014/2015,2-3
Poland,Kedzierzyn-Kozle,Belchatow,25.02. 17:00,PlusLiga,2014/2015,0-3
Poland,Bedzin,Bielsko-Biala,25.02. 17:00,PlusLiga,2014/2015,3-2
Poland,Olsztyn,ONICO Warszawa,25.02. 17:00,PlusLiga,2014/2015,3-2
Poland,Czarni Radom,Bydgoszcz,22.02. 16:00,PlusLiga,2014/2015,1-3
Poland,Jastrzebski,Cuprum,21.02. 16:00,PlusLiga,2014/2015,2-3
Poland,Kedzierzyn-Kozle,Bielsko-Biala,21.02. 16:00,PlusLiga,2014/2015,3-0
Poland,Kielce,Bedzin,21.02. 16:00,PlusLiga,2014/2015,3-2
Poland,ONICO Warszawa,Gdansk,21.02. 16:00,PlusLiga,2014/2015,3-1
Poland,Rzeszow,Belchatow,21.02. 13:45,PlusLiga,2014/2015,3-1
Poland,Olsztyn,Czestochowa,20.02. 17:00,PlusLiga,2014/2015,3-2
Poland,Kielce,Olsztyn,15.02. 16:00,PlusLiga,2014/2015,3-2
Poland,Gdansk,Jastrzebski,15.02. 13:45,PlusLiga,2014/2015,3-1
Poland,Cuprum,Bedzin,14.02. 17:00,PlusLiga,2014/2015,3-2
Poland,Bielsko-Biala,Belchatow,14.02. 16:00,PlusLiga,2014/2015,1-3
Poland,Czestochowa,Rzeszow,14.02. 16:00,PlusLiga,2014/2015,0-3
Poland,Bydgoszcz,Kedzierzyn-Kozle,13.02. 17:00,PlusLiga,2014/2015,2-3
Poland,Czarni Radom,ONICO Warszawa,13.02. 16:00,PlusLiga,2014/2015,2-3
Poland,Olsztyn,Czarni Radom,09.02. 17:00,PlusLiga,2014/2015,0-3
