index,Country,Home,Away,Time,League,Season,Result,DT,Away_points,Home_points,Winner
0,England,Arsenal,Everton,21.05. 14:00,Premier League,2016/2017,3-1,2017-05-21 14:00:00,1,3,home
1,England,Burnley,West Ham,21.05. 14:00,Premier League,2016/2017,1-2,2017-05-21 14:00:00,2,1,away
2,England,Chelsea,Sunderland,21.05. 14:00,Premier League,2016/2017,5-1,2017-05-21 14:00:00,1,5,home
3,England,Hull,Tottenham,21.05. 14:00,Premier League,2016/2017,1-7,2017-05-21 14:00:00,7,1,away
4,England,Leicester,Bournemouth,21.05. 14:00,Premier League,2016/2017,1-1,2017-05-21 14:00:00,1,1,draw
5,England,Liverpool,Middlesbrough,21.05. 14:00,Premier League,2016/2017,3-0,2017-05-21 14:00:00,0,3,home
6,England,Manchester Utd,Crystal Palace,21.05. 14:00,Premier League,2016/2017,2-0,2017-05-21 14:00:00,0,2,home
7,England,Southampton,Stoke,21.05. 14:00,Premier League,2016/2017,0-1,2017-05-21 14:00:00,1,0,away
8,England,Swansea,West Brom,21.05. 14:00,Premier League,2016/2017,2-1,2017-05-21 14:00:00,1,2,home
9,England,Watford,Manchester City,21.05. 14:00,Premier League,2016/2017,0-5,2017-05-21 14:00:00,5,0,away
10,England,Leicester,Tottenham,18.05. 18:45,Premier League,2016/2017,1-6,2017-05-18 18:45:00,6,1,away
11,England,Southampton,Manchester Utd,17.05. 18:45,Premier League,2016/2017,0-0,2017-05-17 18:45:00,0,0,draw
12,England,Manchester City,West Brom,16.05. 19:00,Premier League,2016/2017,3-1,2017-05-16 19:00:00,1,3,home
13,England,Arsenal,Sunderland,16.05. 18:45,Premier League,2016/2017,2-0,2017-05-16 18:45:00,0,2,home
14,England,Chelsea,Watford,15.05. 19:00,Premier League,2016/2017,4-3,2017-05-15 19:00:00,3,4,home
15,England,Tottenham,Manchester Utd,14.05. 15:30,Premier League,2016/2017,2-1,2017-05-14 15:30:00,1,2,home
16,England,West Ham,Liverpool,14.05. 13:15,Premier League,2016/2017,0-4,2017-05-14 13:15:00,4,0,away
17,England,Crystal Palace,Hull,14.05. 11:00,Premier League,2016/2017,4-0,2017-05-14 11:00:00,0,4,home
18,England,Stoke,Arsenal,13.05. 16:30,Premier League,2016/2017,1-4,2017-05-13 16:30:00,4,1,away
19,England,Bournemouth,Burnley,13.05. 14:00,Premier League,2016/2017,2-1,2017-05-13 14:00:00,1,2,home
20,England,Middlesbrough,Southampton,13.05. 14:00,Premier League,2016/2017,1-2,2017-05-13 14:00:00,2,1,away
21,England,Sunderland,Swansea,13.05. 14:00,Premier League,2016/2017,0-2,2017-05-13 14:00:00,2,0,away
22,England,Manchester City,Leicester,13.05. 11:30,Premier League,2016/2017,2-1,2017-05-13 11:30:00,1,2,home
23,England,West Brom,Chelsea,12.05. 19:00,Premier League,2016/2017,0-1,2017-05-12 19:00:00,1,0,away
